f_0,fr_0,f_1,fr_1,f_2,fr_2,f_3,fr_3,f_4,fr_4,f_5,fr_5,f_6,fr_6,f_7,fr_7,f_8,fr_8,f_9,fr_9,f_10,fr_10,f_11,fr_11,f_12,fr_12,f_13,fr_13,f_14,fr_14,f_15,fr_15,f_16,fr_16,f_17,fr_17,f_18,fr_18,f_19,fr_19,f_20,fr_20,f_21,fr_21,f_22,fr_22
248.4391635933984,0.001,245.95409768544135,0.001,253.13548927441238,1416.1895690882964,253.98892867699266,928.4085115860571,245.54055508956316,0.001,243.54627315610645,0.001,255.8147860994935,1496.7632408201957,250.49201674811542,818.8132845764037,253.03755064070225,155.77404947890318,234.98989171445368,0.001,249.22254609599707,0.001,247.3690298759937,0.001,249.87298566676674,0.001,248.79777693986892,0.001,246.5952389718592,0.001,249.87465986764056,0.001,251.15503627952188,280.7883531993932,244.79902981057762,0.001,252.27668849717824,183.3100989519695,249.5737095429003,81.32342497226523,248.47724206390177,0.001,262.0752909937501,2851.0669669489316,255.3545223259926,1765.6852923696445
245.37009270176293,0.001,253.95574004262684,150.49707414731404,259.7174811461568,2846.639884752247,243.5252651749551,0.001,253.8242715676874,931.9813677075906,251.34684551184995,417.162145910424,236.28093031361698,0.001,243.61941399291157,0.001,252.58414685525003,0.001,251.36003975901752,319.90797428485484,247.84978125192225,0.001,247.3515206298232,0.001,251.94148758329453,569.428707618319,256.7981400096416,930.9392195976754,253.00541106067595,631.9621073362033,249.93100935269382,0.001,252.24048158485442,905.8681555754748,243.87785117715595,0.001,245.29940290540458,0.001,221.9703697615862,0.001,237.56292211800815,0.001,243.88135476052759,897.5588022796974,253.70652735918762,2128.076089667471
259.7326084831357,2817.8024549036313,255.68806341379883,1583.6976066880288,248.91778990827498,2321.1220957187793,257.98004434943203,1212.7832673284233,249.52802382059394,1200.0183102753665,260.0950190061331,1603.8885302732606,250.50677853342148,0.001,258.7614570727945,2305.825319181995,245.30811787560583,0.001,250.77850933837706,525.1132623756769,259.6839317271113,1103.6216708678517,249.18896907757966,0.001,257.83236419618135,2089.276400211221,252.15852174222468,811.7287233191346,243.41434674024583,0.001,247.07989590071605,0.001,246.6501022835821,0.001,252.91945838168266,674.2962665498467,271.58228947579863,4486.944886078824,256.4916242340207,999.9461713604001,252.39245114218446,634.2986802414734,254.24475495383143,2084.558276610943,252.17148291826248,1857.893636557851
255.81692918524146,3929.8311613213045,243.440840626657,0.001,257.969579807818,2955.648134521668,260.38363574095075,3939.9347224391126,258.8715417036414,3024.055979005937,252.7825766080618,1370.1090229606557,246.4106426528096,0.001,247.95476560484616,2340.1314333879595,258.3747939968109,2296.8439520463335,254.50656821742652,1215.4022578993836,264.1289573544264,4770.9446332770185,256.72354340121154,1511.654642321623,260.81972037315364,4127.734311825856,244.5866791805625,0.001,253.13240466654298,736.959277408927,251.42479246124623,24.843597139359076,251.65355820223687,105.89228354241553,255.27642887398602,1614.1091466053886,248.46864414535463,3900.5356282168877,248.72900539770723,1329.0376773971884,246.46456101298332,66.61438131546106,252.6133871218562,2796.2965666001005,250.38503678679467,2796.657012453906
253.41511349245906,4603.759886944466,257.89587885499003,1448.5551449340353,252.9337298737466,3182.7376669665123,250.47719150312247,4450.169257890737,254.4405577669293,3915.482995355252,256.8514016026258,2472.390744713349,252.77714013099668,0.001,244.49130546808243,824.0889907004084,253.07605466604235,3018.384558309897,229.7955628952384,0.001,247.2125653640926,4282.476941974599,254.2187484660745,2819.060563502465,251.7252590858936,3880.6832259580283,249.63319563366474,0.001,252.5551360601932,440.6197094544551,240.59285597190262,0.001,248.40680543392898,0.001,242.61429393202064,357.65696359284834,249.95994784332814,3624.29990212139,261.2529701942205,3962.8192584552417,256.24031598359346,1240.5429132228423,253.02939455486836,3852.300517900387,236.58754481732848,0.001
252.15607597664,4288.868421786331,254.82722762688996,2385.4856041601042,257.9177714863419,4147.129291423942,255.72651686310766,5675.9228595772865,255.41646954953669,4932.733348305574,257.8575310921669,4387.539780492563,251.99448803240435,194.63824830697808,251.4480489577539,926.3112586371199,253.0024049127102,3185.5332432752343,255.03719683378932,962.397101566461,253.9095635382831,5234.689764711426,252.10020103599874,3626.0383134269305,256.2563337811828,4812.6087031645875,251.41502852262,528.3324828231239,259.7112422981858,2293.552571451117,253.77404811460525,1715.1587901682453,244.8891347399354,0.001,253.52091273270545,622.0945403530151,258.40294374540446,5796.603328677648,256.3613268522918,5193.8209205442645,251.2003505661059,960.7274393353399,253.58268915057184,4567.982681099011,254.07014009937646,1331.8296821155373
259.83014945298436,5291.241319489001,252.69359931904825,2533.3368060794414,253.185898412168,4170.395851565265,254.10795003980397,6587.5993499676515,253.55524754285813,6052.497693164402,256.12099102124574,5562.255221105497,272.0394834274054,4679.10931622084,257.3226302289963,2052.947927207631,254.43454787492755,4187.68545040342,256.59717221200464,1980.6884121596108,256.27586698889735,6152.575134599113,262.22712196320293,6010.946808244369,257.6911733890045,6534.45232616685,251.70687037940138,277.0814409673708,256.885993180573,3791.0894895366005,256.29531223088503,2475.8801643755187,252.34654447980228,685.1892110710877,259.40529645740986,1691.7913101714973,253.72267716363075,6782.105427399685,254.92097164332864,6080.43823391376,259.09448454320426,3145.459862422276,247.55906249150632,3255.134848142308,256.15427400112156,2467.5629499247675
255.62483736261726,6413.551672726214,251.71946166666226,3131.9778834968524,239.87888023346665,2190.246623404303,254.96108174711463,7488.985086953064,253.9905905830115,6893.191870546139,259.68804804295297,6753.615566337893,256.83562052562837,5133.431453842937,259.29250444978476,3162.7703566062614,256.5704646223783,5788.757233436279,250.04218104515226,1333.4533472161802,257.2715459661186,8145.683824809226,256.45316298544407,6856.419024246541,241.19354052633048,4670.508375889795,265.0708462321758,3013.466734421682,258.1674762158096,5500.75476177462,257.0099954286217,3555.458665626621,259.8238841912151,1897.60808664227,263.84862506926055,3913.682509927874,257.28628810957076,8511.14082331724,257.27084773719315,7204.847345254046,258.90097218543286,4215.789235592136,259.3642376488447,5205.521525550396,259.5471088805795,3887.9893603982146
259.6333177885413,7569.464180106375,255.0256533583999,3457.930504962223,257.33512569159274,3313.785829020136,256.77841169297693,9260.395149177137,257.3538849720359,7986.575923909042,258.89230766803024,8964.327440739686,255.91133131027223,5874.580189286092,254.9233672192693,4246.442113777161,255.5757782152295,6838.7581898124545,257.7490647962689,2777.290499793315,253.04118883892892,9169.090104466053,257.6161157494783,8044.301579581543,256.53931146249175,6433.081753559708,256.66960780084133,4223.692197586101,255.11181701108814,6497.3878859967235,256.2592004275322,4722.494824359594,259.12578218042853,4140.571960174482,255.6874249359965,5286.32376890932,259.2344155503809,10395.919173635944,253.90531959816812,8048.9746070410565,260.20567701518536,6240.653076764908,253.76488555282353,6266.546926590747,262.6486937263608,5971.20298972343
256.5684223479032,9303.062174230716,256.4538111151755,4324.133203661484,252.8279906889796,4176.36430866714,256.1431726121902,9769.20239438524,253.8806023991108,9128.321662018094,257.1600451155007,9546.71134923758,256.95040214598174,7097.5271950352435,256.5456444451958,5280.032991594304,253.0669504790008,7733.742009478239,254.199680890739,3711.0036302450744,258.7141187438369,10644.656620392776,254.38551989138128,8638.427585624038,259.4462498909235,7561.919222740355,269.73829586714504,8321.01367039727,256.46082342207427,7268.0587812932445,255.4366420930624,5450.9198803278105,256.677321126461,4923.624676338681,261.1193162107467,7700.646778194638,286.44872729718685,17348.838345234093,256.414284068197,9079.213520851295,286.7118624040484,13058.835227837966,257.9284495526552,7142.831768973577,256.0664073938131,6888.869278314936
255.76308102518323,10463.14736030499,257.0378564676642,5221.2158785413,253.91915089175103,5276.186967840192,256.7658930233121,11274.94758366956,251.94983277305963,9849.235726593013,252.63223713472487,10536.701576441417,267.71088560461993,10612.523804807915,270.7849558526278,9240.185686762723,252.83666255906226,8707.225104854842,252.84544895872472,4695.674025004171,254.6318479953706,11907.82543601441,266.1354245939851,12171.80911674031,266.31030347883706,10664.865453308612,272.0614545488358,12304.67045265399,269.9724061185122,11554.106431455602,270.85995297782125,9450.236921834017,253.50830909222367,5736.944462213467,296.17374562561514,16236.686085497771,260.0684816738963,19292.718966095235,257.20179306954145,10293.016313399765,255.17669934540987,14096.177131073964,260.04798619687557,9191.687263214426,253.82001111119988,8006.513261705385
290.29777797400953,17526.214000206215,259.64853397399185,7305.4520504258335,254.96987971052528,6281.618502660803,256.4478621943295,12207.738144010436,258.5155992454291,11681.12790104243,252.29081686049702,11364.220131482509,259.09809117108585,12641.7332213205,265.178688622117,11823.206277705021,264.4816559696198,11498.405209371063,246.62917732164266,4264.7704226808355,253.6958181446791,12918.976463864768,253.63125470787287,13312.71058880263,253.34960222333672,11342.78778833366,255.96898682475089,13453.907498777065,247.1839658463001,11019.364774619495,260.005901003778,11195.304231931379,258.50297801285984,7431.715127098806,256.07271987736226,17328.881681633975,254.85433123916386,20415.091478101363,253.45341068193315,11406.832771585607,261.17000916689636,16483.458545371173,254.05343859851362,10187.597139014073,248.8043405650556,7718.240470671452
